datetime,lat,lon,waveTp,waveHs,waveTm,waveMeanDirection
2024-10-07 08:00:00,41.916672,-69.75,14.0859375,1.5,11.46875,109.8125
2024-10-07 09:00:00,41.916672,-69.75,14.2578125,1.5234375,11.6484375,109.6171875
2024-10-07 10:00:00,41.916672,-69.75,14.3828125,1.5546875,11.8046875,109.3359375
2024-10-07 11:00:00,41.916672,-69.75,14.515625,1.578125,11.9296875,109.0546875
2024-10-07 12:00:00,41.916672,-69.75,14.7109375,1.6015625,12.03125,108.8515625
2024-10-07 13:00:00,41.916672,-69.75,15.109375,1.625,12.1171875,108.765625
2024-10-07 14:00:00,41.916672,-69.75,15.5234375,1.65625,12.1015625,108.875
2024-10-07 15:00:00,41.916672,-69.75,15.6640625,1.7109375,11.765625,110.6875
2024-10-07 16:00:00,41.916672,-69.75,15.7265625,1.734375,11.7265625,111.5625
2024-10-07 17:00:00,41.916672,-69.75,15.734375,1.7578125,11.59375,112.6640625
2024-10-07 18:00:00,41.916672,-69.75,15.703125,1.78125,11.359375,114.1875
2024-10-07 19:00:00,41.916672,-69.75,15.6171875,1.8203125,11.0078125,116.0859375
2024-10-07 20:00:00,41.916672,-69.75,15.4453125,1.8671875,10.546875,118.265625
2024-10-07 21:00:00,41.916672,-69.75,15.03125,1.921875,10.0703125,120.390625
2024-10-07 22:00:00,41.916672,-69.75,14.78125,1.9765625,9.640625,122.3671875
2024-10-07 23:00:00,41.916672,-69.75,14.640625,2.015625,9.390625,123.953125
2024-10-08 00:00:00,41.916672,-69.75,14.5546875,2.0,9.375,124.859375
2024-10-08 01:00:00,41.916672,-69.75,14.4921875,1.953125,9.5,124.5546875
2024-10-08 02:00:00,41.916672,-69.75,14.421875,1.890625,9.71875,122.734375
2024-10-08 03:00:00,41.916672,-69.75,14.3359375,1.828125,9.9765625,119.7265625
2024-10-08 04:00:00,41.916672,-69.75,14.203125,1.78125,10.21875,116.25
2024-10-08 05:00:00,41.916672,-69.75,14.0,1.7578125,10.3984375,112.9609375
2024-10-08 06:00:00,41.916672,-69.75,13.5078125,1.75,10.5,109.984375
2024-10-08 07:00:00,41.916672,-69.75,13.2890625,1.7578125,10.5234375,107.2578125
2024-10-08 08:00:00,41.916672,-69.75,13.171875,1.7890625,10.296875,103.765625
